doc_id,title,brand,model,variant,category
4183603286890488819,Promati BLU-TEC-Questionnaires-Proload - BLU-TEC-Questionnaires-Proload,Promati,BLU-TEC-Questionnaires-Proload,standaard,12. ProLoad
8882856053251286271,Promati H - 1) Bandschraper TPH,Promati,H,standaard,Bandschraper
7370171492549043030,Promati 3) Bandschraper Blue Line BP1 - 3) Bandschraper Blue Line BP1,Promati,3) Bandschraper Blue Line BP1,standaard,Bandschraper
4423226532026393179,Promati 4) Bandschraper Blue Line BS1 - 4) Bandschraper Blue Line BS1,Promati,4) Bandschraper Blue Line BS1,standaard,Bandschraper
4174722679983153801,Promati 1) Transportbandrollen - 1) Transportbandrollen,Promati,1) Transportbandrollen,standaard,Rollen en steunen
6789131040505505465,Promati 2) trogstellen en steunen voor transportbanden - 2) trogstellen en steunen voor transportbanden,Promati,2) trogstellen en steunen voor transportbanden,standaard,Rollen en steunen
2975723104419324753,Promati 3) TOP-Rollen - 3) TOP-Rollen,Promati,3) TOP-Rollen,standaard,Rollen en steunen
840005334774784633,Promati 4) HDPE Rollen - 4) HDPE Rollen,Promati,4) HDPE Rollen,standaard,Rollen en steunen
5138978833613399889,Promati 5) Cerapro-ringen - 5) Cerapro-ringen,Promati,5) Cerapro-ringen,standaard,Rollen en steunen
6966232033711564342,Promati vragenlijst rollen - vragenlijst rollen,Promati,vragenlijst rollen,standaard,Rollen en steunen
3940648464986776592,Promati 1) Transportbandtrommels - 1) Transportbandtrommels,Promati,1) Transportbandtrommels,standaard,Trommels en lagers
547632409229336817,Promati 1) Proload - 1) Proload,Promati,1) Proload,standaard,5. Ontsstoffingssysteem - Stofdicht Stortpunt
6227852189470139685,Promati R - 2) Ontstoffingssysteem voor transportbanden - HX410 - Roxon Clear,Promati,R,standaard,5. Ontsstoffingssysteem - Stofdicht Stortpunt
4385436331652720093,Promati vragenlijst proload - vragenlijst proload,Promati,vragenlijst proload,standaard,5. Ontsstoffingssysteem - Stofdicht Stortpunt
5454109014533875119,Promati 1) Afdichtingssysteem met Klemmen - 1) Afdichtingssysteem met Klemmen,Promati,1) Afdichtingssysteem met standaard Klemmen,standaard,Afdichting
1341889535099904675,Promati 2) Afdichtingssystemen voor stortpunten - 2) Afdichtingssystemen voor stortpunten,Promati,2) Afdichtingssystemen voor stortpunten,standaard,Afdichting
402351467733394335,Promati 3) Impact Bars - 3) Impact Bars,Promati,3) Impact Bars,standaard,Afdichting
3304803484285806008,Promati Vragenlijst impactbars - Vragenlijst impactbars,Promati,Vragenlijst impactbars,standaard,Afdichting
2894508434073527225,Promati 1) Rollax - 1) Rollax,Promati,1) Rollax,standaard,Stuurrollen
1590644006498738311,"Promati 1) wegen, doseren en metaaldetectie - onze passie - 1) wegen, doseren en metaaldetectie - onze passie",Promati,"1) wegen, doseren en metaaldetectie - onze passie",standaard,Weeg- en detectietechniek
1286808510441464040,Promati R - 2) Ramsey bandweger,Promati,R,standaard,Weeg- en detectietechniek
9042002163247359754,Promati 3) gravimetrische & volumetrische doseersystemen - 3) gravimetrische & volumetrische doseersystemen,Promati,3) gravimetrische & volumetrische doseersystemen,standaard,Weeg- en detectietechniek
5840991651222167947,Promati 4) Industriële weegoplossingen - 4) Industriële weegoplossingen,Promati,4) Industriële weegoplossingen,standaard,Weeg- en detectietechniek
3223341839308169570,Promati 5) Metaaldetectie - 5) Metaaldetectie,Promati,5) Metaaldetectie,standaard,Weeg- en detectietechniek
856943879630561292,Promati Promag magneten - Promag magneten,Promati,Promag magneten,standaard,Metaaldetectie/magneten
5571551548972376991,Promati MASTER DOKUMENT - MASTER DOKUMENT,Promati,MASTER DOKUMENT,standaard,demo_docs
5242336140581314927,Promati mini-inspectie-concept - mini-inspectie-concept,Promati,mini-inspectie-concept,standaard,demo_docs
5354172894482866909,Promati vragenlijst proload - vragenlijst proload,Promati,vragenlijst proload,standaard,vragenlijsten
6608367249022328887,Promati vragenlijst rollen - vragenlijst rollen,Promati,vragenlijst rollen,standaard,vragenlijsten
